PU,Species,Genus,NRRL,CBS,Other,Hittinger,Cellobiose,Citrate,D-Glucosamine,Fructose,Galactose,Glycerol,L-Arabinose,L-Sorbose,Lactose,Maltose,Mannose,myo-Inositol,Rhamnose,Xylose,Raffinose,Sucrose,DL-Lactate
34932,Kuraishia ogatae,Kuraishia,NRRL Y-48474, CBS 10924,NA,NA,0.506908241,0,0,0.437264226,0,0,0,0,0,0,0.510706317,0,0.284435666,0.250078686,0,0.147720309,0.354800169
34933,Kuraishia molischiana,Kuraishia,NRRL Y-27899, CBS 9993,NA,NA,0.257502526,0,0.280948113,0.500677175,0,0.319394956,0,0,0.316934475,0.682352417,0.517595557,0,0.20977643,0.253531222,0,0.136401928,0
34934,Kuraishia hungarica,Kuraishia,NRRL Y-27594, CBS 9254,NA,NA,0.657943495,0,0,0.471182138,0.459466852,0,0,0.396872019,0.567677952,0.645610448,0.576457781,0,0,0.512718883,0,0.192268341,0
34935,Kuraishia floccosa,Kuraishia,NRRL Y-27951, CBS 10307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34936,Kuraishia cidri,Kuraishia,NRRL Y-27078, CBS 4241,NA,NA,0,0.368557051,0.174284375,0.763964295,0,0.40897351,0,0.331070818,0,0.469408187,0.591551028,0,0.337849057,0.367984623,0,0.120959013,0
34937,Kuraishia capsulata,Kuraishia,NRRL Y-1842, CBS 1993,NA,NA,0.439720963,0,0.433554704,0.658139322,NA,0.416490682,0.347030159,0,0,0.484106143,0.684326391,0,0.295442793,0.217562812,0,0.164364773,0
35667,Kurtzmaniella cleridarum,Kurtzmaniella,NRRL Y-48386, CBS 8793,NA,NA,0,0.071733091,NA,0.491031143,0.39007584,0.094067672,0,0.289002863,0,0.546514447,0.446390407,0,0.024879437,0.176953218,0,0.479432879,NA
26219,Lachancea waltii,Lachancea,NRRL Y-8285 , CBS 6430,NA,NA,0,0,0,0.580937977,0,0,0,0.821392963,0,0,1.692282885,0,NA,0.588654787,1.231082195,0.832902959,NA
34678,Lachancea thermotolerans,Lachancea,NRRL Y-8284 , CBS 6340,NA,NA,NA,0,0,0.116652028,0,0.045753894,0,0.086697773,0,0.115040622,0.099133217,0,0.020460561,NA,0.129467746,0,0
34678,Lachancea thermotolerans,Lachancea,NRRL Y-8284,CBS 6340,NA,yHDO87,NA,0,0,0.116652028,0,0.045753894,0,0.086697773,0,0.115040622,0.099133217,0,0.020460561,NA,0.129467746,0,0
